data,date,review,reviews,student,subscribers
,2019/1/17,,194.0,,2671.0
,2019/1/18,,195.0,,2671.0
,2019/1/19,,197.0,,2674.0
,2019/1/20,,199.0,,2685.0
,2019/1/21,,199.0,,2695.0
,2019/1/22,,200.0,,2701.0
,2019/1/23,,200.0,,2710.0
,2019/1/24,,201.0,,2718.0
,2019/1/25,,201.0,,2722.0
,2019/1/26,,201.0,,2725.0
,2019/1/27,,202.0,,2734.0
,2019/1/28,,204.0,,2753.0
,2019/1/29,,206.0,,2773.0
,2019/1/30,,208.0,,2785.0
,2019/1/31,,210.0,,2803.0
,2019/2/1,,211.0,,2845.0
,2019/2/2,,213.0,,2847.0
,2019/2/3,,213.0,,2847.0
,2019/2/4,,217.0,,2851.0
,2019/2/5,,218.0,,2852.0
,2019/2/6,,219.0,,2857.0
,2019/2/7,,220.0,,2861.0
,2019/2/8,,222.0,,2865.0
,2019/2/9,,224.0,,2870.0
,2019/2/10,,224.0,,2875.0
,2019/2/11,,227.0,,2892.0
,2019/2/12,,229.0,,2906.0
,2019/2/13,,229.0,,2919.0
,2019/2/14,,231.0,,2942.0
,2019/2/15,,232.0,,2974.0
,2019/2/16,,234.0,,2977.0
,2019/2/17,,234.0,,2978.0
,2019/2/18,,234.0,,2981.0
,2019/2/19,,234.0,,2983.0
,2019/2/20,,237.0,,2984.0
,2019/2/21,,239.0,,2987.0
,2019/2/22,,239.0,,2989.0
,2019/2/23,,241.0,,2993.0
,2019/2/24,,241.0,,2995.0
,2019/2/25,,241.0,,3009.0
,2019/2/26,,243.0,,3014.0
,2019/2/27,,243.0,,3023.0
,2019/2/28,,243.0,,3031.0
,2019/3/1,,244.0,,3052.0
,2019/3/2,,245.0,,3060.0
,2019/3/3,,246.0,,3062.0
,2019/3/4,,249.0,,3063.0
,2019/3/5,,252.0,,3066.0
,2019/3/6,,254.0,,3071.0
,2019/3/7,,255.0,,3074.0
,2019/3/8,,256.0,,3076.0
,2019/3/9,,258.0,,3077.0
,2019/3/10,,258.0,,3080.0
,2019/3/11,,261.0,,3087.0
,2019/3/12,,261.0,,3089.0
,2019/3/13,,262.0,,3093.0
,2019/3/14,,262.0,,3098.0
,2019/3/15,,262.0,,3104.0
,2019/3/16,,262.0,,3112.0
,2019/3/17,,262.0,,3120.0
,2019/3/18,,265.0,,3131.0
,2019/3/19,,266.0,,3142.0
,2019/3/20,,266.0,,3162.0
,2019/3/21,,268.0,,3173.0
,2019/3/22,,269.0,,3180.0
,2019/3/23,,271.0,,3187.0
,2019/3/24,,271.0,,3189.0
,2019/3/25,,274.0,,3196.0
,2019/3/26,,274.0,,3212.0
,2019/3/27,,274.0,,3220.0
,2019/3/28,,275.0,,3226.0
,2019/3/29,,275.0,,3241.0
,2019/3/30,,278.0,,3253.0
,2019/3/31,,278.0,,3255.0
,2019/4/1,,280.0,,3258.0
,2019/4/2,,282.0,,3262.0
,2019/4/3,,282.0,,3264.0
,2019/4/4,,282.0,,3272.0
,2019/4/5,,284.0,,3275.0
,2019/4/6,,287.0,,3276.0
,2019/4/7,,289.0,,3279.0
,2019/4/8,,289.0,,3285.0
,2019/4/9,,291.0,,3300.0
,2019/4/10,,293.0,,3306.0
,2019/4/11,,295.0,,3312.0
,2019/4/12,,295.0,,3319.0
,2019/4/13,,295.0,,3324.0
,2019/4/14,,297.0,,3325.0
,2019/4/15,,298.0,,3329.0
,2019/4/16,,299.0,,3331.0
,2019/4/17,,299.0,,3332.0
,2019/4/18,,299.0,,3333.0
,2019/4/19,,299.0,,3336.0
,2019/4/20,,299.0,,3339.0
,2019/4/21,,300.0,,3343.0
,2019/4/22,,302.0,,3349.0
,2019/4/23,,303.0,,3357.0
,2019/4/24,,303.0,,3370.0
,2019/4/25,,304.0,,3388.0
,2019/4/26,,304.0,,3412.0
,2019/4/27,,305.0,,3437.0
,2019/4/28,,305.0,,3439.0
,2019/4/29,,308.0,,3440.0
,2019/4/30,,309.0,,3447.0
,2019/5/1,,310.0,,3466.0
,2019/5/2,,311.0,,3481.0
,2019/5/3,,314.0,,3504.0
,2019/5/4,,317.0,,3522.0
,2019/5/5,,322.0,,3527.0
,2019/5/6,,324.0,,3533.0
,2019/5/7,,327.0,,3543.0
,2019/5/8,,328.0,,3546.0
,2019/5/9,,330.0,,3555.0
,2019/5/10,,332.0,,3566.0
,2019/5/11,,334.0,,3583.0
,2019/5/12,,335.0,,3594.0
,2019/5/13,,338.0,,3614.0
,2019/5/14,,340.0,,3633.0
,2019/5/15,,344.0,,3647.0
,2019/5/16,,349.0,,3648.0
,2019/5/17,,349.0,,3649.0
,2019/5/18,,351.0,,3651.0
,2019/5/19,,351.0,,3654.0
,2019/5/20,,354.0,,3658.0
,2019/5/21,,354.0,,3671.0
,2019/5/22,,359.0,,3675.0
,2019/5/23,,359.0,,3681.0
,2019/5/24,,361.0,,3694.0
,2019/5/25,,361.0,,3699.0
,2019/5/26,,364.0,,3711.0
,2019/5/27,,368.0,,3722.0
,2019/5/28,,373.0,,3734.0
,2019/5/29,,374.0,,3766.0
,2019/5/30,,375.0,,3781.0
,2019/5/31,,375.0,,3784.0
,2019/6/1,,378.0,,3789.0
,2019/6/2,,379.0,,3790.0
,2019/6/3,,380.0,,3793.0
,2019/6/4,,383.0,,3795.0
,2019/6/5,,385.0,,3808.0
,2019/6/6,,386.0,,3830.0
,2019/6/7,,387.0,,3843.0
,2019/6/8,,390.0,,3857.0
,2019/6/9,,394.0,,3870.0
,2019/6/10,,395.0,,3895.0
,2019/6/11,,397.0,,3919.0
,2019/6/12,,399.0,,3942.0
,2019/6/13,,402.0,,3983.0
,2019/6/14,,404.0,,4022.0
,2019/6/15,,409.0,,4053.0
,2019/6/16,,410.0,,4058.0
,2019/6/17,,414.0,,4063.0
,2019/6/18,,417.0,,4064.0
,2019/6/19,,422.0,,4065.0
,2019/6/20,,424.0,,4066.0
,2019/6/21,,425.0,,4069.0
,2019/6/22,,426.0,,4070.0
,2019/6/23,,427.0,,4073.0
,2019/6/24,,427.0,,4084.0
,2019/6/25,,427.0,,4108.0
,2019/6/26,,433.0,,4122.0
